100.24%,838.5MiB / 5GiB,2024-03-08 00:32:39
100.75%,839.4MiB / 5GiB,2024-03-08 00:32:46
99.63%,840.3MiB / 5GiB,2024-03-08 00:32:53
100.95%,841MiB / 5GiB,2024-03-08 00:33:00
100.60%,842MiB / 5GiB,2024-03-08 00:33:07
99.99%,843.2MiB / 5GiB,2024-03-08 00:33:14
100.32%,843.9MiB / 5GiB,2024-03-08 00:33:21
101.24%,844.7MiB / 5GiB,2024-03-08 00:33:28
99.44%,845.2MiB / 5GiB,2024-03-08 00:33:35
100.22%,846.3MiB / 5GiB,2024-03-08 00:33:42
99.90%,846.9MiB / 5GiB,2024-03-08 00:33:49
100.51%,847.8MiB / 5GiB,2024-03-08 00:33:56
98.61%,848.4MiB / 5GiB,2024-03-08 00:34:04
100.18%,849.7MiB / 5GiB,2024-03-08 00:34:11
99.16%,850.5MiB / 5GiB,2024-03-08 00:34:18
100.85%,852MiB / 5GiB,2024-03-08 00:34:25
99.70%,852.8MiB / 5GiB,2024-03-08 00:34:32
100.07%,853.8MiB / 5GiB,2024-03-08 00:34:39
99.62%,854.2MiB / 5GiB,2024-03-08 00:34:46
100.70%,855.1MiB / 5GiB,2024-03-08 00:34:53
99.53%,856.3MiB / 5GiB,2024-03-08 00:35:00
99.77%,856.8MiB / 5GiB,2024-03-08 00:35:07
99.50%,857.7MiB / 5GiB,2024-03-08 00:35:14
99.85%,858.3MiB / 5GiB,2024-03-08 00:35:21
99.03%,858.9MiB / 5GiB,2024-03-08 00:35:28
101.03%,859.8MiB / 5GiB,2024-03-08 00:35:35
98.93%,860.5MiB / 5GiB,2024-03-08 00:35:42
