95.65%,677.1MiB / 5GiB,2024-03-08 06:13:55
96.26%,677.3MiB / 5GiB,2024-03-08 06:14:02
96.86%,677.1MiB / 5GiB,2024-03-08 06:14:09
95.63%,678.1MiB / 5GiB,2024-03-08 06:14:16
97.13%,677.7MiB / 5GiB,2024-03-08 06:14:23
96.27%,677.1MiB / 5GiB,2024-03-08 06:14:30
97.49%,677.3MiB / 5GiB,2024-03-08 06:14:37
96.56%,677.4MiB / 5GiB,2024-03-08 06:14:45
96.91%,677.2MiB / 5GiB,2024-03-08 06:14:52
96.84%,677.3MiB / 5GiB,2024-03-08 06:14:59
97.67%,677.2MiB / 5GiB,2024-03-08 06:15:06
94.23%,677.1MiB / 5GiB,2024-03-08 06:15:13
96.67%,677.1MiB / 5GiB,2024-03-08 06:15:20
95.51%,677.1MiB / 5GiB,2024-03-08 06:15:27
94.13%,677.3MiB / 5GiB,2024-03-08 06:15:34
95.57%,677.2MiB / 5GiB,2024-03-08 06:15:41
97.00%,677.5MiB / 5GiB,2024-03-08 06:15:48
95.99%,677.2MiB / 5GiB,2024-03-08 06:15:55
97.60%,677.4MiB / 5GiB,2024-03-08 06:16:02
96.61%,677.3MiB / 5GiB,2024-03-08 06:16:09
96.48%,677.3MiB / 5GiB,2024-03-08 06:16:16
96.08%,677.3MiB / 5GiB,2024-03-08 06:16:23
96.98%,677.1MiB / 5GiB,2024-03-08 06:16:30
97.39%,677.1MiB / 5GiB,2024-03-08 06:16:37
96.57%,677.1MiB / 5GiB,2024-03-08 06:16:45
97.03%,677.5MiB / 5GiB,2024-03-08 06:16:52
95.64%,677.1MiB / 5GiB,2024-03-08 06:16:59
97.63%,677.6MiB / 5GiB,2024-03-08 06:17:06
98.27%,677.8MiB / 5GiB,2024-03-08 06:17:13
94.14%,677.5MiB / 5GiB,2024-03-08 06:17:20
96.68%,677.3MiB / 5GiB,2024-03-08 06:17:27
94.47%,677.3MiB / 5GiB,2024-03-08 06:17:34
96.53%,677.3MiB / 5GiB,2024-03-08 06:17:41
96.76%,677.2MiB / 5GiB,2024-03-08 06:17:48
97.30%,677.3MiB / 5GiB,2024-03-08 06:17:55
93.19%,677.3MiB / 5GiB,2024-03-08 06:18:02
95.79%,678MiB / 5GiB,2024-03-08 06:18:09
94.89%,677.9MiB / 5GiB,2024-03-08 06:18:16
95.27%,678.2MiB / 5GiB,2024-03-08 06:18:23
97.79%,677.9MiB / 5GiB,2024-03-08 06:18:30
97.96%,677.9MiB / 5GiB,2024-03-08 06:18:37
95.17%,678.1MiB / 5GiB,2024-03-08 06:18:44
96.01%,678.3MiB / 5GiB,2024-03-08 06:18:52
95.95%,678.1MiB / 5GiB,2024-03-08 06:18:59
92.63%,677.9MiB / 5GiB,2024-03-08 06:19:06
94.31%,678MiB / 5GiB,2024-03-08 06:19:13
94.64%,678.2MiB / 5GiB,2024-03-08 06:19:20
95.25%,677.9MiB / 5GiB,2024-03-08 06:19:27
96.04%,678MiB / 5GiB,2024-03-08 06:19:34
97.26%,678.2MiB / 5GiB,2024-03-08 06:19:41
97.74%,677.8MiB / 5GiB,2024-03-08 06:19:48
96.41%,678MiB / 5GiB,2024-03-08 06:19:55
96.81%,678MiB / 5GiB,2024-03-08 06:20:02
96.71%,678.1MiB / 5GiB,2024-03-08 06:20:09
95.73%,678.2MiB / 5GiB,2024-03-08 06:20:16
94.96%,678.1MiB / 5GiB,2024-03-08 06:20:23
95.82%,677.7MiB / 5GiB,2024-03-08 06:20:30
97.39%,677.9MiB / 5GiB,2024-03-08 06:20:37
95.77%,678MiB / 5GiB,2024-03-08 06:20:44
96.13%,678MiB / 5GiB,2024-03-08 06:20:51
95.35%,678.2MiB / 5GiB,2024-03-08 06:20:59
96.81%,678.2MiB / 5GiB,2024-03-08 06:21:06
96.76%,677.9MiB / 5GiB,2024-03-08 06:21:13
96.21%,677.8MiB / 5GiB,2024-03-08 06:21:20
98.55%,677.9MiB / 5GiB,2024-03-08 06:21:27
96.97%,678.1MiB / 5GiB,2024-03-08 06:21:34
97.84%,677.9MiB / 5GiB,2024-03-08 06:21:41
97.96%,678MiB / 5GiB,2024-03-08 06:21:48
96.00%,677.8MiB / 5GiB,2024-03-08 06:21:55
96.49%,677.8MiB / 5GiB,2024-03-08 06:22:02
95.33%,677.9MiB / 5GiB,2024-03-08 06:22:09
96.33%,678.2MiB / 5GiB,2024-03-08 06:22:16
94.71%,678MiB / 5GiB,2024-03-08 06:22:23
97.30%,678.5MiB / 5GiB,2024-03-08 06:22:30
95.96%,678MiB / 5GiB,2024-03-08 06:22:37
97.06%,677.9MiB / 5GiB,2024-03-08 06:22:44
96.77%,678.1MiB / 5GiB,2024-03-08 06:22:51
95.02%,678.2MiB / 5GiB,2024-03-08 06:22:58
95.52%,678.2MiB / 5GiB,2024-03-08 06:23:05
95.68%,677.8MiB / 5GiB,2024-03-08 06:23:13
95.69%,678.3MiB / 5GiB,2024-03-08 06:23:20
96.82%,678MiB / 5GiB,2024-03-08 06:23:27
96.59%,677.8MiB / 5GiB,2024-03-08 06:23:34
95.60%,678.1MiB / 5GiB,2024-03-08 06:23:41
96.79%,678MiB / 5GiB,2024-03-08 06:23:48
95.90%,678MiB / 5GiB,2024-03-08 06:23:55
98.58%,678.1MiB / 5GiB,2024-03-08 06:24:02
96.44%,677.9MiB / 5GiB,2024-03-08 06:24:09
95.56%,677.9MiB / 5GiB,2024-03-08 06:24:16
96.52%,678.1MiB / 5GiB,2024-03-08 06:24:23
96.55%,678.1MiB / 5GiB,2024-03-08 06:24:30
95.84%,678MiB / 5GiB,2024-03-08 06:24:37
96.40%,678.6MiB / 5GiB,2024-03-08 06:24:44
97.10%,678.1MiB / 5GiB,2024-03-08 06:24:51
97.17%,677.8MiB / 5GiB,2024-03-08 06:24:58
94.93%,678.1MiB / 5GiB,2024-03-08 06:25:05
94.80%,677.8MiB / 5GiB,2024-03-08 06:25:13
94.46%,677.9MiB / 5GiB,2024-03-08 06:25:20
95.28%,677.8MiB / 5GiB,2024-03-08 06:25:27
97.59%,678MiB / 5GiB,2024-03-08 06:25:34
96.83%,677.9MiB / 5GiB,2024-03-08 06:25:41
96.12%,678.1MiB / 5GiB,2024-03-08 06:25:48
96.23%,678.2MiB / 5GiB,2024-03-08 06:25:55
97.75%,678.1MiB / 5GiB,2024-03-08 06:26:02
95.54%,678MiB / 5GiB,2024-03-08 06:26:09
95.30%,678.1MiB / 5GiB,2024-03-08 06:26:16
95.83%,677.8MiB / 5GiB,2024-03-08 06:26:23
95.96%,678.3MiB / 5GiB,2024-03-08 06:26:30
95.18%,678.1MiB / 5GiB,2024-03-08 06:26:37
